Schema,Views,Columns,,,,,
training,6,70,,,,,
CoSell,126,2930,,,,,
Feed_PMX,2,41,,,,Legend,
rob,123,1269,,,,View/Column Renamed,
ISV,13,220,,,,Deprecate,
analytics,10,2081,,,,New View/Column,
Feed,9,99,,,,TBD,
Partner,22,353,,,,No Change,
PII,1,6,,,,Updated Later ( 2nd Comm),
E5Usage,2,17,,,,,
ems,3,39,,,,,
inv,33,188,,,,,
o365,6,50,,,,,
pbi,3,43,,,,,
renewals,1,31,,,,,
Azure,16,132,,,,,
CSP,38,726,,,,,
Sales,68,826,,,,,
CPECSAT,1,6,,,,,
DualCredit,1,5,,,,,
OneAsk,1,3,,,,,
Peat,1,3,,,,,
PM,6,211,,,,,
Digital,2,30,,,,,
