Schema,Views,Columns,Owner ,Status,ETA,Redmond Sign-Off,Comment,,,,,,
training,6,70,Tangella D,Updated,,,,,,,,,
CoSell,126,2930,Sumit,Updated,,SB,,,Change Type,,,,
Feed_PMX,2,41,Roshan Y,Updated,,AF,No schema change,,Data Type Change,,,,
rob,123,1269,Roshan Y,Updated (Added TBD for the changes not yet confirmed),,AF,,,Deprecate,,,Rename,dw
ISV,13,220,Naveen,,To be Retired,KC,,,No Change,,,Deprecate,
analytics,10,2081,Himanshi,To be Retired,,SF,,,Rename,,,New,
Feed,9,99,Himanshi,No Change,,,,,,,,No Change,
Partner,22,353,Gulshan,No Change,7-Aug,SA,,,,,,,
PII,1,6,Gulshan,No Change,,SF,,,,,,,
E5Usage,2,17,Amitha M,No Change,,KC,,,,,,,
ems,3,39,Amitha M,No Change,,KC,,,,,,,
inv,33,188,Amitha M,To be Retired,,KC,,,,,,,
o365,6,50,Amitha M,No Change,,KC,,,,,,,
pbi,3,43,Amitha M,TBD,,KC,,,,,,,
renewals,1,31,Amitha M,To be Retired,,KC,,,,,,,
Azure,16,132,Amit K,Updated ,15-Jun,SCC,,,,,,,
CSP,38,726,Amit K,,,SCC,,,,,,,
Sales,68,826,Amit K,,,SCC,,,,,,,
CPECSAT,1,6,Aman P,To be Retired,,KC,,,,,,,
DualCredit,1,5,Aman P,Updated,,KC,,,,,,,
GPSMartAccess,3,23,Aman P,Updated,,KC,,,,,,,
MSSalesSecurity,3,23,Aman P,Updated,,KC,,,,,,,
OneAsk,1,3,Aman P,To be Retired,,KC,,,,,,,
Peat,1,3,Aman p,No Change,,KC,,,,,,,
PM,6,211,Aadesh,No Change,,KC,,,,,,,
dataops,1,8,,,,KC,,,,,,,
queryinsights,5,90,,,,KC,,,,,,,
sys,7,55,,,,KC,,,,,,,
Digital,2,30,Urja G,No change,,SF,,,,,,,
