Schema Name,View Name,Column Name,Datatype,Change Type,New View,New Column,
CoSell,vw_CosellPrioritizedPartners,SolutionPlay,varchar,Deprecate,,,
CoSell,vw_DimOpportunity,SolutionPlay,varchar,Stale,,,
CoSell,vw_DimMSXSolutionArea,SolutionPlay,varchar,Stale,,,
CoSell,vw_DimMSXWorkload,SolutionPlay,varchar,Stale,,,
CoSell,vw_DimOpportunity,Solution Play (Seller Tagged),varchar,Stale,,,
CoSell,vw_DimProject,SolutionPlay,varchar,Stale,,,
CoSell,vw_DimSolutionArea,SolutionPlay,varchar,Deprecate,,,
CoSell,vw_DimSolutionAreaOppty,SolutionPlay,varchar,Stale,,,
CoSell,vw_FactSolution,SolutionPlay,varchar,Stale,,,
CoSell,vw_Bridge_CoSellPrioritizedSolutionPracticeCountry,SolutionPlay,varchar,Deprecate,,,
CoSell,vw_FactPartnerDealFY20,ApprovalDateKey,varchar,TBD,,,
CoSell,vw_FactPartnerDealFY20,IPCoSellDealReg_Azure,decimal,TBD,,,
CoSell,vw_FactPartnerDealFY20,EstimatedRevenueCD,decimal,TBD,,,
CoSell,vw_FactPartnerDealFY20,IsPartnerCoSellDeal_Azure_ACR,varchar,TBD,,,
CoSell,vw_FactPartnerDealFY20,CRMPartnerAccountKey,varchar,TBD,,,
CoSell,vw_DimPartnerReferral,IsIPCoSellWithFY19Logic,varchar,TBD,,,
CoSell,vw_DimGPSCRMAccount,IsFY24RecruitPartner,varchar,TBD,,,
CoSell,vw_DimReportingPartnerOneSub,IsFY24RecruitPartner,varchar,TBD,,,
CoSell,vw_DimPartnerReferral,IsIPCoSellWithFY21Logic,varchar,TBD,,,
CoSell,vw_FactPartnerDealFY20,Approval_ReportedDateKey,varchar,TBD,,,
CoSell,vw_FactPartnerDealFY20,CustomerGeographyKey,bigint,TBD,,,
CoSell,vw_FactPartnerDealFY20,CustomerSegmentKey,bigint,TBD,,,
CoSell,vw_FactPartnerDealFY20,IsPartnerReportedACR,varchar,TBD,,,
CoSell,vw_FactPartnerDealFY20,ServiceCompGroupingKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,IsPartnerCoSellDeal_ClosedMonth_Azure_ACR,varchar,TBD,,,
CoSell,vw_FactPartnerDealFY20,PartnerReportedACR_Azure,decimal,TBD,,,
CoSell,vw_FactPartnerDealFY20,TrueACRConsumption,decimal,TBD,,,
CoSell,vw_FactPartnerDealFY20,PartnerDealKey,bigint,TBD,,,
CoSell,vw_FactPartnerDealFY20,ATUKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,ChannelPartnerOneKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,IPCoSellPartnerOneKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,LeadKey,bigint,TBD,,,
CoSell,vw_FactPartnerDealFY20,OpportunityKey,bigint,TBD,,,
CoSell,vw_FactPartnerDealFY20,PartnerGeographyKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,CreatedDateKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,IPPartnerOneKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,ReportingGeographyKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,PartnerOneReportingKey,bigint,TBD,,,
CoSell,vw_FactPartnerDealFY20,ScoreCardRecognitionKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,PartnerOneKey,int,TBD,,,
CoSell,vw_FactPartnerDealFY20,PSXDealKey,varchar,TBD,,,
CoSell,vw_FactPartnerDealFY20,rank,bigint,TBD,,,
